Sr.,Sex,Age ,during_right,during_left,Rating
1,M,22,6.49,5.41,A
2,M,22,5.74,7.57,A
3,F,36,9.68,3.61,N
4,F,40,10.16,11.93,A
5,M,22,6.49,5.41,A
6,M,45,44.59,29.34,A
7,F,19,6.34,8.63,A
8,F,45,9.89,8.7,A
9,F,18,13.35,17.24,A
10,M,17,9.59,10.65,A
11,M,37,7.14,3.85,A
12,F,40,3.91,7.6,A
13,M,63,1.92,4.75,A
14,M,32,2.78,2.78,A
15,F,22,66.46,61.97,N
16,M,19,148.24,6.2,A
17,F,28,9.85,13.82,A
18,F,40,1.79,5.46,A
19,F,18,5.43,10.92,A
20,F,45,4.6,5.41,N
21,M,19,8.79,16.95,A
22,M,32,6.67,4.55,N
23,F,35,34.35,5.58,A
24,F,20,7.53,8.39,N
25,F,20,12.2,13.59,A
26,M,26,9.19,4.87,A
27,M,27,7.25,4.94,N
28,M,26,6.7,3.31,N
29,M,26,12.69,8.19,N
30,F,26,5.52,4.11,N
31,F,19,9.44,4.28,A
32,F,19,5,9.65,N
33,F,19,9.03,9.16,A
34,M,45,16.37,15.4,A
35,M,37,10.46,47.33,A
36,M,35,10.19,37.12,A
37,M,30,5.2,7.46,A
38,F,45,7.92,3.88,A
39,M,32,34.88,27.52,N
40,M,50,9.91,14.89,A
