Sr.,Sex,Age,before,during,after,Rating
1,M,22,5.48,5.41,4.53,A
2,M,22,7.3,7.57,4.9,A
3,F,36,4.25,3.61,3.78,N
4,F,40,20.52,11.93,12.13,A
5,M,22,5.48,5.41,4.53,A
6,M,45,27.75,29.34,33.65,A
7,F,19,8.44,8.63,6.82,A
8,F,45,10.76,8.7,8.27,A
9,F,18,57.65,17.24,26.81,A
10,M,17,12.23,10.65,10.36,A
11,M,37,7.66,3.85,3.71,A
12,F,40,9.6,7.6,6.38,A
13,M,63,3.71,4.75,3.86,A
14,M,32,2.5,2.78,3.39,A
15,F,22,37.84,61.97,65.1,N
16,M,19,8.91,6.2,3.8,A
17,F,28,3.99,13.82,3.67,A
18,F,40,5.44,5.46,10.16,A
19,F,18,4.13,10.92,5.27,A
20,F,45,4.42,5.41,3.99,N
21,M,19,21.74,16.95,13.5,A
22,M,32,6.93,4.55,6.22,N
23,F,35,6.51,5.58,3.45,A
24,F,20,8.02,8.39,8.08,N
25,F,20,10.3,13.59,26.29,A
26,M,26,5.72,4.87,4.94,A
27,M,27,5.33,4.94,5.37,N
28,M,26,2.69,3.31,3.91,N
29,M,26,8.68,8.19,10.62,N
30,F,26,4.05,4.11,3.53,N
31,F,19,4.9,4.28,5.55,A
32,F,19,5.59,9.65,6.06,N
33,F,19,14.19,9.16,4.68,A
34,M,45,11.41,15.4,17.44,A
35,M,37,255.34,47.33,201.67,A
36,M,35,4.91,37.12,2.16,A
37,M,30,5.03,7.46,5.78,A
38,F,45,7.03,3.88,2.72,A
39,M,32,22.87,27.52,11.45,N
40,M,50,7.43,14.89,21.51,A
