Sr.,Sex,Age ,before,during,after,Rating
1,M,22,7.84,6.49,5.7,A
2,M,22,7.18,5.74,4.82,A
3,F,36,17.29,9.68,9.92,N
4,F,40,6.81,10.16,14.5,A
5,M,22,7.84,6.49,5.7,A
6,M,45,24.25,44.59,41.88,A
7,F,19,4.92,6.34,3.47,A
8,F,45,39.47,9.89,9.99,A
9,F,18,96.47,13.35,16.39,A
10,M,17,12.92,9.59,9.7,A
11,M,37,20.73,7.14,6.82,A
12,F,40,3.46,3.91,3.32,A
13,M,63,2.75,1.92,1.86,A
14,M,32,4.13,2.78,3.22,A
15,F,22,40.52,66.46,72.28,N
16,M,19,9.94,148.24,13.55,A
17,F,28,9,9.85,7.49,A
18,F,40,1.67,1.79,3.69,A
19,F,18,5.77,5.43,6.32,A
20,F,45,4.42,4.6,4.87,N
21,M,19,9.89,8.79,10.09,A
22,M,32,6.85,6.67,6.42,N
23,F,35,12.84,34.35,3.23,A
24,F,20,7.27,7.53,7.44,N
25,F,20,9.9,12.2,11.61,A
26,M,26,10.57,9.19,10.8,A
27,M,27,3.18,7.25,12.09,N
28,M,26,7.8,6.7,7.55,N
29,M,26,17.55,12.69,12.9,N
30,F,26,5.58,5.52,4.87,N
31,F,19,7.37,9.44,8.17,A
32,F,19,4.45,5,4.29,N
33,F,19,13.65,9.03,6.33,A
34,M,45,14.79,16.37,10.39,A
35,M,37,8.41,10.46,10.54,A
36,M,35,5.84,10.19,4.25,A
37,M,30,4.23,5.2,4.02,A
38,F,45,3.65,7.92,7.03,A
39,M,32,24.39,34.88,11.3,N
40,M,50,11.28,9.91,9.67,A
